time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact,halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 18:22:13 2016
 1985.958    -1.360   -0.440   -0.695 1465.122    0.322    1.050
 1986.042     0.450   -0.364   -0.705 1469.059    0.419    0.870
 1986.125     3.920   -0.898   -0.825 1473.003    0.383    0.910
 1986.208     1.010   -0.543   -0.695 1477.459    0.353    1.000
 1986.292    -0.310   -0.361   -0.725 1481.439    0.337    0.740
 1986.375    -0.360    0.243   -0.645 1485.937    0.421    0.420
 1986.458    -0.280    0.179   -0.715 1489.955    0.478    0.190
 1986.542    -0.950    0.180   -0.725 1493.995    0.482    0.120
 1986.625    -0.250    0.424   -0.775 1498.045    0.449   -0.240
 1986.708     0.430    0.543   -0.775 1502.624    0.457   -0.380
 1986.792     1.740    0.680   -0.725 1506.715    0.522   -0.410
 1986.875    -0.380    0.816   -0.665 1511.336    0.454   -0.340
 1986.958    -0.060    0.926   -0.705 1515.462    0.517   -0.620
 1987.042    -1.250    0.832   -0.705 1519.610    0.633   -0.650
 1987.125    -2.880    0.928   -0.715 1523.766    0.716   -0.840
 1987.208     1.910    1.286   -0.705 1528.462    0.729   -1.140
 1987.292     3.390    1.371   -0.735 1532.653    0.701   -1.320
 1987.375     2.740    1.983   -0.615 1537.385    0.736   -1.500
 1987.458     2.220    2.070   -0.545 1541.606    0.707   -1.380
 1987.542     1.550    1.005   -0.555 1545.846    0.661   -0.590
 1987.625     1.250   -0.556   -0.585 1550.092    0.664    0.500
 1987.708     1.230   -0.892   -0.515 1554.883    0.663    0.930
 1987.792     2.240   -1.208   -0.525 1559.158    0.606    1.140
 1987.875     1.920   -0.636   -0.395 1563.979    0.552    1.070
 1987.958    -4.360   -0.247   -0.335 1568.277    0.512    0.930
 1988.042    -2.750   -0.018   -0.325 1572.591    0.426    0.790
 1988.125    -0.780    0.400   -0.265 1576.908    0.469    0.580
 1988.208    -1.490   -0.017   -0.425 1581.776    0.256    0.500
 1988.292    -1.910    0.425   -0.315 1586.117    0.107    0.530
 1988.375     0.840    1.150   -0.075 1591.008    0.233    0.570
 1988.458     1.020    0.169   -0.365 1595.365    0.275    0.400
 1988.542     0.650   -0.331   -0.545 1599.737    0.237    0.230
 1988.625     1.450    0.734   -0.225 1604.109    0.221    0.330
 1988.708     2.330    1.961    0.085 1609.038    0.218    0.260
 1988.792     2.340    0.588   -0.265 1613.428    0.200    0.250
 1988.875     0.120    1.297   -0.075 1618.374    0.152    0.250
 1988.958     3.440    1.374   -0.115 1622.778    0.131    0.040
 1989.042     5.150    2.551    0.165 1627.194    0.135   -0.080
 1989.125     3.920    2.862    0.225 1631.609    0.183   -0.210
 1989.208     3.310    1.830    0.005 1636.585    0.181   -0.110
 1989.292     5.890    2.660    0.215 1641.013    0.168   -0.160
 1989.375     6.240    3.534    0.405 1646.002    0.155   -0.310
 1989.458     5.620    1.859   -0.045 1650.440    0.163   -0.400
 1989.542     5.450    4.877    0.695 1654.891    0.175   -0.580
 1989.625     5.750    3.002    0.135 1659.340    0.174   -0.840
 1989.708     6.930    2.298   -0.115 1664.349    0.178   -1.090
 1989.792     5.640    5.280    0.585 1668.809    0.185   -1.360
 1989.875     2.520    4.580    0.445 1673.829    0.115   -1.240
 1989.958     3.440    4.277    0.505 1678.296    0.109   -0.860
 1990.042     2.250    3.763    0.505 1682.772    0.200   -0.550
 1990.125     0.620    2.681    0.265 1687.246    0.204   -0.470
 1990.208     2.610    1.906    0.265 1692.284    0.186    0.100
 1990.292     3.490    2.304    0.495 1696.767    0.150    0.460
 1990.375     2.140    0.185    0.155 1701.812    0.128    1.060
 1990.458     0.120    0.603    0.395 1706.298    0.120    1.420
 1990.542     2.550   -0.850    0.085 1710.792    0.140    1.570
 1990.625     0.450   -2.006   -0.205 1715.278    0.122    1.570
 1990.708    -1.770    0.416    0.425 1720.320    0.134    1.520
 1990.792    -0.960   -0.254    0.235 1724.796    0.205    1.390
 1990.875    -0.680   -3.013   -0.525 1729.815    0.141    1.250
 1990.958    -2.060   -0.823    0.015 1734.263    0.164    1.110
 1991.042    -1.450   -1.899   -0.325 1738.702    0.194    0.870
 1991.125     0.520   -0.839   -0.065 1743.118    0.218    0.770
 1991.208     1.910   -0.084    0.145 1748.064    0.247    0.750
 1991.292     3.290    1.843    0.685 1752.440    0.172    0.870
 1991.375     4.440   -0.105    0.055 1757.334    0.195    0.440
 1991.458     4.420    0.287    0.055 1761.661    0.201    0.090
 1991.542     5.850    1.089    0.295 1765.971    0.990   -0.300
 1991.625     4.950    0.126    0.085 1770.250    1.753   -0.650
 1991.708     4.530    1.422    0.515 1775.029    2.244   -0.690
 1991.792     5.240   -1.871   -0.225 1779.243    2.667   -0.620
